ts_code,trade_date,open,high,low,close,vol,amount,pct_chg,rsi14,ema12,ema26,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_width,kdj_rsv,kdj_k,kdj_d,kdj_j
600276.SH,2025-07-04,52.61,53.79,52.6,53.26,477923.12,2548289.616,1.5056,,53.26,53.26,0.0,0.0,0.0,,,,,,,,
600276.SH,2025-07-07,53.38,53.59,52.56,52.65,286387.94,1516132.786,-1.1453,,53.16615384615385,53.214814814814815,-0.04866096866096825,-0.009732193732193651,-0.0389287749287746,,,,,,,,
600276.SH,2025-07-08,52.69,53.69,52.5,53.4,359263.15,1916547.623,1.4245,,53.202130177514796,53.228532235939646,-0.026402058424849884,-0.013066166670724898,-0.013335891754124985,,,,,,,,
600276.SH,2025-07-09,53.4,57.94,53.02,57.19,1158211.69,6507788.433,7.0974,,53.815648611743285,53.52197429253671,0.2936743192065734,0.04828193050473476,0.24539238870183863,,,,,,,,
600276.SH,2025-07-10,57.13,58.28,56.61,57.6,903715.7,5204345.946,0.7169,,54.39785651762893,53.824050270867325,0.5738062467616061,0.15338679375610903,0.42041945300549705,,,,,,,,
600276.SH,2025-07-11,57.51,58.12,56.88,56.9,658631.71,3779524.292,-1.2153,,54.78280166876294,54.051898398951224,0.7309032698117193,0.2688900889672311,0.46201318084448817,,,,,,,,
600276.SH,2025-07-14,56.75,58.05,56.56,57.21,473758.36,2714468.293,0.5448,,55.156216796645566,54.28583185088076,0.8703849457648047,0.3891890603267459,0.48119588543805886,,,,,,,,
600276.SH,2025-07-15,57.25,57.53,56.52,57.22,436928.47,2491977.102,0.0175,,55.47372190485394,54.50317763970441,0.9705442651495275,0.5054601012913023,0.46508416385822526,,,,,,,,
600276.SH,2025-07-16,57.65,58.9,57.04,57.22,398191.2,2293530.537,0.0,,55.74238007333795,54.70442374046705,1.0379563328708983,0.6119593476072215,0.4259969852636768,,,,,73.75,73.75,73.75,73.75
600276.SH,2025-07-17,56.9,57.9,56.84,57.73,444146.28,2553187.389,0.8913,,56.04816775436288,54.928540500432455,1.1196272539304246,0.7134929288718621,0.4061343250585625,,,,,81.71874999999997,76.40624999999999,74.63541666666666,79.94791666666663
600276.SH,2025-07-18,58.21,59.86,57.9,58.76,660985.65,3881474.081,1.7842,,56.46537271523013,55.212352315215234,1.253020400014897,0.8213984231004691,0.43162197691442794,,,,,85.05434782608694,79.2889492753623,76.18659420289853,85.49365942028982
600276.SH,2025-07-21,58.5,58.8,57.68,58.0,509441.85,2960736.582,-1.2934,,56.70146922057934,55.418844736310405,1.2826244842689363,0.9136436353341626,0.3689808489347737,,,,,72.80701754385964,77.12830536486142,76.50049792355283,78.38392024747858
600276.SH,2025-07-22,58.0,58.85,57.2,57.41,475570.25,2753253.571,-1.0172,,56.810473955874826,55.56633771880593,1.2441362370688935,0.9797421556811088,0.26439408138778475,,,,,26.64670658682618,60.30110577218301,71.10070053976288,38.701916237023255
